"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"475","PRGO","Perrigo Co. Plc","G9782210","BGH1M56",0.000218066860929687,"Health Care",1419156,"USD"
"476","IVZ","Invesco Ltd.","G491BT10","B28XP76",0.000214426579463124,"Financials",3885840,"USD"
"477","BEN","Franklin Resources Inc.","35461310","2350684",0.000213516509096483,"Financials",2792820,"USD"
"478","DVN","Devon Energy Corporation","25179M10","2480677",0.000211266335113031,"Energy",4045835,"USD"
"479","FRT","Federal Realty Investment Trust","31374720","2333931",0.000209626208298426,"Real Estate",727539,"USD"
"480","DXC","DXC Technology Co.","23355L10","BYXD7B3",0.000208876150303942,"Information Technology",2667159,"USD"
"481","ALK","Alaska Air Group Inc.","01165910","2012605",0.000207426038181272,"Industrials",1283313,"USD"
"482","VNO","Vornado Realty Trust","92904210","2933632",0.000206855994105464,"Real Estate",1652965,"USD"
"483","APA","Apache Corporation","03741110","2043962",0.000202695672429392,"Energy",3898105,"USD"
"484","AIV","Apartment Investment & Management Co Class A","03748R74","BN2W9T6",0.000202255638405962,"Real Estate",1573810,"USD"
"485","KIM","Kimco Realty Corporation","49446R10","2491594",0.000202155630673364,"Real Estate",4328491,"USD"
"486","MRO","Marathon Oil Corporation","56584910","2910970",0.000193024924687177,"Energy",8390454,"USD"
"487","FLIR","FLIR Systems Inc.","30244510","2344717",0.000185004304532827,"Information Technology",1398717,"USD"
"488","PBCT","People's United Financial Inc.","71270410","B1W41J2",0.000184424259683759,"Financials",4433375,"USD"
"489","NOV","National Oilwell Varco Inc.","63707110","2624486",0.000183844214834691,"Energy",3979341,"USD"
"490","LEG","Leggett & Platt Incorporated","52466010","2510682",0.000180613965071779,"Consumer Discretionary",1346925,"USD"
"491","RL","Ralph Lauren Corporation Class A","75121210","B4V9661",0.000170063149282703,"Consumer Discretionary",519627,"USD"
"492","UNM","Unum Group","91529Y10","2433842",0.000163432636611463,"Financials",2178113,"USD"
"493","HBI","Hanesbrands Inc.","41034510","B1BJSL9",0.000160492409273085,"Consumer Discretionary",3634988,"USD"
"494","FLS","Flowserve Corporation","34354P10","2288406",0.000154281929078756,"Industrials",1332476,"USD"
"495","FOX","Fox Corporation Class B","35137L20","BJJMGY5",0.000150641647612193,"Communication Services",1666372,"USD"
"496","SLG","SL Green Realty Corp.","78440X10","2096847",0.000149321545541901,"Real Estate",764847,"USD"
"497","DISCA","Discovery Inc. Class A","25470F10","B3D7K31",0.000148761502239353,"Communication Services",1639668,"USD"
"498","GPS","Gap Inc.","36476010","2360326",0.000146181302738328,"Consumer Discretionary",2144519,"USD"
"499","VNT","Vontier Corp","92888110","BH4GV32",0.000141690955544683,"Information Technology",1409026,"USD"
"500","XRX","Xerox Holdings Corporation","98421M10","BJJD5G3",0.000139600793933387,"Information Technology",1937751,"USD"
"501","HFC","HollyFrontier Corporation","43610610","B5VX1H6",0.000138600716607408,"Energy",1546418,"USD"
"502","FTI","TechnipFMC Plc","G8711010","BDSFG98",0.000138440704235251,"Energy",4379910,"USD"
"503","UAA","Under Armour Inc. Class A","90431110","B0PZN11",0.0001049281130417,"Consumer Discretionary",1891813,"USD"
"504","UA","Under Armour Inc. Class C","90431120","BDF9YM2",9.79075702133289e-05,"Consumer Discretionary",2018655,"USD"
"505","NWS","News Corporation Class B","65249B20","BBGVT51",7.40257236689541e-05,"Communication Services",1287023,"USD"
