"","symbol","date","open","high","low","close","volume","adjusted"
"117","XLK",2020-06-18,102.300003,103.059998,102.080002,102.949997,6858600,102.44014
"118","XLK",2020-06-19,104.190002,104.309998,101.75,102.239998,15640000,101.733665
"119","XLK",2020-06-22,102.089996,103.970001,101.93,103.879997,7369000,103.650414
"120","XLK",2020-06-23,104.809998,105.830002,104.480003,104.629997,9514000,104.398758
"121","XLK",2020-06-24,104.199997,104.779999,101.709999,102.269997,12712800,102.043968
"122","XLK",2020-06-25,102.419998,103.690002,101.309998,103.580002,10267200,103.351082
"123","XLK",2020-06-26,103.379997,103.529999,101.230003,101.540001,22137800,101.31559
"124","XLK",2020-06-29,101.529999,102.660004,100.309998,102.650002,9273600,102.423134
"125","XLK",2020-06-30,102.660004,104.910004,102.519997,104.489998,8250000,104.259064
"126","XLK",2020-07-01,104.559998,105.269997,104.080002,104.660004,10854600,104.428696
"127","XLK",2020-07-02,105.650002,106.220001,105.050003,105.269997,9572300,105.037338
"128","XLK",2020-07-06,106.629997,107.610001,106.57,107.110001,8023100,106.873276
"129","XLK",2020-07-07,106.989998,108.07,105.879997,105.989998,7931800,105.755753
"130","XLK",2020-07-08,106.830002,107.730003,106.260002,107.720001,6663500,107.481934
"131","XLK",2020-07-09,108.599998,108.620003,106.559998,108.110001,8883900,107.871071
"132","XLK",2020-07-10,107.860001,108.129997,106.800003,108.080002,7362300,107.841133
"133","XLK",2020-07-13,109,109.720001,105.57,105.839996,14455200,105.606079
"134","XLK",2020-07-14,105,107.209999,103.879997,107.059998,15026600,106.823387
"135","XLK",2020-07-15,108.040001,108.57,106.379997,107.639999,11889600,107.402107
"136","XLK",2020-07-16,106.489998,106.790001,105.489998,106.309998,8590300,106.075043
"137","XLK",2020-07-17,106.940002,107.129997,105.849998,106.830002,6355200,106.593903
"138","XLK",2020-07-20,107.129997,109.82,106.529999,109.559998,8509200,109.317863
"139","XLK",2020-07-21,110.339996,110.379997,108.059998,108.459999,9397400,108.220291
"140","XLK",2020-07-22,108.559998,109.669998,108.470001,109.330002,7514000,109.088371
"141","XLK",2020-07-23,108.75,109.470001,106.010002,106.489998,11674800,106.254646
"142","XLK",2020-07-24,104.709999,105.889999,103.470001,105.199997,11455800,104.967499
"143","XLK",2020-07-27,105.839996,106.970001,105.629997,106.860001,8454000,106.623833
"144","XLK",2020-07-28,106.529999,106.860001,105.529999,105.610001,8912700,105.376595
"145","XLK",2020-07-29,106.010002,107.43,106.010002,107.139999,6593500,106.903214
"146","XLK",2020-07-30,106.169998,107.809998,105.599998,107.739998,10778400,107.501884
"147","XLK",2020-07-31,109.440002,110.470001,107.660004,110.43,12594100,110.185944
"148","XLK",2020-08-03,111.93,113.510002,111.879997,113.150002,12163500,112.899933
"149","XLK",2020-08-04,112.910004,113.449997,112.419998,113.440002,8985800,113.189293
"150","XLK",2020-08-05,113.800003,114.120003,113.290001,113.860001,6480100,113.60836
"151","XLK",2020-08-06,113.769997,115.57,113.519997,115.459999,8199700,115.204826
"152","XLK",2020-08-07,115,115.010002,112.839996,113.739998,13735900,113.488625
"153","XLK",2020-08-10,113.959999,114.150002,111.889999,113.419998,8240600,113.169334
"154","XLK",2020-08-11,113.050003,113.529999,111.150002,111.379997,9422200,111.133835
"155","XLK",2020-08-12,112.279999,114.209999,112.139999,113.910004,7098900,113.658257
"156","XLK",2020-08-13,114.07,114.910004,113.550003,113.959999,5726800,113.708138
"157","XLK",2020-08-14,114.010002,114.209999,113.25,113.879997,4167100,113.628311
"158","XLK",2020-08-17,114.57,114.900002,114.43,114.639999,4087300,114.386635
"159","XLK",2020-08-18,114.860001,115.379997,114.099998,115.07,4465000,114.815689
"160","XLK",2020-08-19,115.360001,115.870003,114.739998,114.93,7119700,114.675995
"161","XLK",2020-08-20,114.5,116.690002,114.379997,116.459999,6401500,116.202614
"162","XLK",2020-08-21,116.57,118.07,116.510002,117.940002,7644300,117.679344
"163","XLK",2020-08-24,119.639999,119.68,117.970001,118.959999,8220300,118.69709
"164","XLK",2020-08-25,118.690002,119.610001,118.510002,119.559998,9314100,119.295761
"165","XLK",2020-08-26,120.809998,122.309998,120.540001,121.989998,8231500,121.72039
"166","XLK",2020-08-27,122.5,123.059998,120.989998,122.089996,9087100,121.820168
"167","XLK",2020-08-28,122.57,123.559998,122.410004,123.160004,6546300,122.88781
"168","XLK",2020-08-31,123.650002,124.349998,122.879997,123.550003,9520000,123.276947
"169","XLK",2020-09-01,124.660004,126.07,123.879997,125.910004,12810000,125.631729
"170","XLK",2020-09-02,127.709999,127.720001,124.809998,127.029999,20197500,126.749252
"171","XLK",2020-09-03,125,125.099998,118.800003,119.790001,27081000,119.525253
"172","XLK",2020-09-04,119.120003,120.82,113.050003,118.120003,31272100,117.858948
"173","XLK",2020-09-08,113.629997,116.330002,112.580002,112.779999,23930200,112.530746
"174","XLK",2020-09-09,115.529999,117.599998,114.269997,116.459999,18391900,116.202614
"175","XLK",2020-09-10,118.059998,118.239998,113.139999,113.830002,16054900,113.57843
"176","XLK",2020-09-11,114.900002,115.339996,111.519997,112.959999,18583200,112.71035
"177","XLK",2020-09-14,114.839996,115.949997,114.300003,115.330002,12365100,115.075111
"178","XLK",2020-09-15,117.089996,117.300003,115.690002,116.470001,9130200,116.212593
"179","XLK",2020-09-16,116.989998,117.150002,114.559998,114.669998,9818500,114.416565
"180","XLK",2020-09-17,111.989998,114.510002,111.809998,113.720001,15201800,113.468674
"181","XLK",2020-09-18,113.910004,114.110001,110.379997,111.760002,20918800,111.513
"182","XLK",2020-09-21,109.5,112.489998,109.110001,112.440002,19190900,112.440002
"183","XLK",2020-09-22,113.709999,114.510002,111.779999,114.220001,12768700,114.220001
"184","XLK",2020-09-23,114.279999,114.389999,110.32,110.660004,11853900,110.660004
"185","XLK",2020-09-24,109.629997,112.660004,109.489998,111.279999,15919300,111.279999
"186","XLK",2020-09-25,111.339996,114.279999,110.639999,113.940002,9663300,113.940002
